STAID,STANAME,CN,LAT,LON,HGHT,LAT_dec,LON_dec
30,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,FI,+67:21:57,+026:37:59,179,67.36583333333333,26.633055555555558
75,XOSEDA-XARD,RU,+67:04:59,+059:22:59,82,67.08305555555555,59.38305555555556
78,KANDALAKSHA,RU,+67:09:00,+032:21:00,26,67.15,32.35
86,MURMANSK,RU,+68:58:00,+033:02:59,57,68.96666666666667,33.04972222222222
88,NAR'YAN-MAR,RU,+67:37:59,+053:01:59,10,67.63305555555554,53.033055555555556
178,BARKESTAD,NO,+68:49:00,+014:48:00,3,68.81666666666666,14.8
179,BJOERNOEYA,NO,+74:31:00,+019:01:00,16,74.51666666666667,19.016666666666666
185,SUOLOVUOPMI,NO,+69:35:17,+023:31:54,377,69.58805555555556,23.531666666666666
186,SVALBARD AIRPORT,NO,+78:15:00,+015:28:00,28,78.25,15.466666666666667
187,HOPEN,NO,+76:30:00,+025:04:00,6,76.5,25.066666666666666
188,GLOMFJORD,NO,+66:49:00,+013:58:59,39,66.81666666666666,13.983055555555556
189,JAN MAYEN,NO,+70:55:59,-008:40:00,10,70.93305555555555,-7.333333333333333
190,KARASJOK,NO,+69:28:00,+025:30:11,129,69.46666666666667,25.503055555555555
195,VARDOE,NO,+70:22:01,+031:05:04,14,70.36694444444444,31.084444444444443
266,BODOE VI,NO,+67:16:01,+014:21:32,11,67.26694444444445,14.358888888888888
298,ILULISSAT,GL,+69:13:12,-051:06:00,39,69.22,-50.9
300,ILULISSAT (JAKOBSHAVN),GL,+69:13:00,-051:03:00,39,69.21666666666667,-50.95
306,ILULISSAT MITTARFIK,GL,+69:13:59,-051:04:00,29,69.23305555555555,-50.93333333333333
328,TROMSO,NO,+69:39:14,+018:55:41,100,69.6538888888889,18.928055555555556
338,KVIKKJOKK-ARRENJARKA,SE,+66:53:15,+018:01:04,314,66.8875,18.017777777777777
734,MUONIO ALAMUONIO,FI,+67:58:05,+023:40:49,254,67.96805555555555,23.68027777777778
735,INARI IVALO LENTOASEMA,FI,+68:36:25,+027:25:05,147,68.60694444444444,27.418055555555558
942,KARASJOK-MARKANNJARGA,NO,+69:27:48,+025:30:07,131,69.46333333333334,25.501944444444444
955,SUOLOVUOPMI-LULIT,NO,+69:34:46,+023:32:03,381,69.57944444444443,23.534166666666668
1056,SKROVA FYR,NO,+68:09:01,+014:39:02,11,68.15027777777779,14.650555555555556
1057,BARDUFOSS,NO,+69:03:32,+018:32:25,76,69.05888888888889,18.540277777777778
1058,SIHCCAJAVRI,NO,+68:45:19,+023:32:18,382,68.75527777777778,23.538333333333334
1059,FRUHOLMEN FYR,NO,+71:05:35,+023:59:42,13,71.09305555555555,23.995
1060,RUSTEFJELBMA,NO,+70:24:01,+028:12:01,10,70.40027777777779,28.200277777777778
1067,BARENсBURG,RU,+78:04:00,+014:15:00,73,78.06666666666666,14.25
1068,TERIBERKA,RU,+69:12:00,+035:07:00,33,69.2,35.11666666666667
1069,PADUN,RU,+68:36:59,+031:48:00,34,68.61638888888888,31.8
1070,KOLA,RU,+68:52:47,+033:01:12,7,68.87972222222221,33.019999999999996
1071,PULOSERO,RU,+68:24:00,+033:17:59,143,68.4,33.29972222222222
1072,LOVOZERO,RU,+68:04:48,+034:48:59,161,68.08,34.81638888888889
1073,SVYATOJ NOS,RU,+68:09:00,+039:46:00,12,68.15,39.766666666666666
1074,KANIN NOS,RU,+68:39:00,+043:18:00,48,68.65,43.3
1075,MONCHEGORSK,RU,+68:00:00,+032:54:00,145,68.0,32.9
1076,KHIBINY,RU,+67:40:48,+033:15:00,130,67.68,33.25
