EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-08-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNITED KINGDOM, CARLISLE (STAID: 2115).
Blended and updated with sources: 156839 903220 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
156839,20130101,   55,    0
156839,20130102,   78,    0
156839,20130103,   86,    0
156839,20130104,   99,    0
156839,20130105,  100,    0
156839,20130106,   78,    0
156839,20130107,   84,    0
156839,20130108,   98,    1
156839,20130109,   33,    0
156839,20130110,   22,    0
156839,20130111,   27,    0
156839,20130112,   35,    1
156839,20130113,    1,    0
156839,20130114,   24,    0
156839,20130115,   13,    0
156839,20130116,   -9,    0
156839,20130117,    0,    0
156839,20130118,    6,    0
156839,20130119,   10,    0
156839,20130120,    9,    0
156839,20130121,   12,    0
156839,20130122,   12,    0
156839,20130123,    6,    0
156839,20130124,   24,    0
156839,20130125,   14,    0
156839,20130126,   48,    0
156839,20130127,   46,    0
156839,20130128,   70,    0
156839,20130129,   85,    1
156839,20130130,   71,    0
156839,20130131,   65,    0
156839,20130201,   63,    0
156839,20130202,   31,    0
156839,20130203,   46,    0
156839,20130204,   54,    0
156839,20130205,   27,    0
156839,20130206,   34,    0
156839,20130207,   12,    0
156839,20130208,   39,    0
156839,20130209,   33,    0
156839,20130210,   31,    0
156839,20130211,   35,    0
156839,20130212,   23,    0
156839,20130213,   33,    0
156839,20130214,   40,    0
156839,20130215,   66,    0
156839,20130216,   55,    0
156839,20130217,   67,    0
156839,20130218,   41,    0
156839,20130219,   27,    0
156839,20130220,   22,    0
156839,20130221,   16,    0
156839,20130222,   16,    0
156839,20130223,   28,    0
156839,20130224,   24,    0
156839,20130225,   38,    0
156839,20130226,   44,    0
156839,20130227,   35,    0
156839,20130228,   40,    0
156839,20130301,   45,    0
156839,20130302,   37,    0
156839,20130303,   43,    0
156839,20130304,   43,    0
156839,20130305,   42,    0
156839,20130306,   32,    0
156839,20130307,   56,    1
156839,20130308,   53,    1
156839,20130309,   29,    0
156839,20130310,   28,    1
156839,20130311,  -22,    0
156839,20130312,    4,    0
156839,20130313,   24,    0
156839,20130314,    3,    0
156839,20130315,   39,    0
156839,20130316,   32,    0
156839,20130317,   37,    0
156839,20130318,   28,    0
156839,20130319,   26,    0
156839,20130320,   32,    0
156839,20130321,   16,    0
156839,20130322,   16,    1
156839,20130323,   11,    0
156839,20130324,   19,    0
156839,20130325,   22,    0
156839,20130326,   14,    0
156839,20130327,   11,    0
156839,20130328,   21,    0
156839,20130329,   16,    0
156839,20130330,   14,    0
156839,20130331,    7,    0
156839,20130401,   21,    0
156839,20130402,   26,    0
156839,20130403,   26,    0
156839,20130404,   22,    0
156839,20130405,   36,    0
156839,20130406,   30,    0
156839,20130407,   52,    0
156839,20130408,   41,    0
156839,20130409,   31,    0
156839,20130410,   59,    0
156839,20130411,   60,    0
156839,20130412,   71,    0
156839,20130413,   91,    0
156839,20130414,  113,    0
156839,20130415,  119,    0
156839,20130416,  113,    0
156839,20130417,  101,    0
156839,20130418,   94,    0
156839,20130419,   91,    0
156839,20130420,   85,    0
156839,20130421,   84,    0
156839,20130422,   86,    0
156839,20130423,  101,    0
156839,20130424,  111,    0
156839,20130425,   86,    0
156839,20130426,   64,    0
156839,20130427,   61,    0
156839,20130428,   77,    0
156839,20130429,   86,    0
156839,20130430,   80,    0
156839,20130501,   80,    0
156839,20130502,   73,    0
156839,20130503,  110,    0
156839,20130504,   97,    0
156839,20130505,  115,    0
156839,20130506,  117,    0
156839,20130507,  133,    0
156839,20130508,  121,    1
156839,20130509,   97,    0
156839,20130510,  103,    0
156839,20130511,   94,    0
156839,20130512,   92,    0
156839,20130513,   78,    0
156839,20130514,   81,    0
156839,20130515,   78,    0
156839,20130516,   86,    0
156839,20130517,   98,    0
156839,20130518,   98,    0
156839,20130519,  116,    0
156839,20130520,  144,    0
156839,20130521,  144,    0
156839,20130522,  119,    0
156839,20130523,   76,    0
156839,20130524,   92,    0
156839,20130525,   84,    0
156839,20130526,   99,    0
156839,20130527,   98,    0
156839,20130528,  115,    0
156839,20130529,  105,    0
156839,20130530,  145,    0
156839,20130531,  131,    0
156839,20130601,  108,    0
156839,20130602,  104,    0
156839,20130603,  124,    0
156839,20130604,  149,    0
156839,20130605,  145,    0
156839,20130606,  157,    0
156839,20130607,  161,    0
156839,20130608,  151,    0
156839,20130609,  151,    0
156839,20130610,  136,    0
156839,20130611,  125,    0
156839,20130612,  147,    0
156839,20130613,  143,    0
156839,20130614,  136,    0
156839,20130615,  119,    0
156839,20130616,  143,    0
156839,20130617,  141,    0
156839,20130618,  174,    0
156839,20130619,  143,    0
156839,20130620,  153,    0
156839,20130621,  155,    0
156839,20130622,  134,    0
156839,20130623,  145,    0
156839,20130624,  132,    0
156839,20130625,  124,    0
156839,20130626,  157,    1
156839,20130627,  119,    0
156839,20130628,  148,    0
156839,20130629,  127,    0
156839,20130630,  155,    1
156839,20130701,  130,    0
156839,20130702,  134,    0
156839,20130703,  154,    0
156839,20130704,  164,    0
156839,20130705,  155,    0
156839,20130706,  147,    0
156839,20130707,  181,    0
156839,20130708,  205,    0
156839,20130709,  200,    0
156839,20130710,  183,    0
156839,20130711,  189,    0
156839,20130712,  197,    0
156839,20130713,  195,    0
156839,20130714,  168,    0
156839,20130715,  157,    0
156839,20130716,  196,    0
156839,20130717,  188,    0
156839,20130718,  200,    0
156839,20130719,  215,    0
156839,20130720,  190,    0
156839,20130721,  188,    0
156839,20130722,  209,    0
156839,20130723,  199,    0
156839,20130724,  186,    0
156839,20130725,  197,    0
156839,20130726,  189,    0
156839,20130727,  179,    0
156839,20130728,  174,    0
156839,20130729,  177,    0
156839,20130730,  167,    0
156839,20130731,  157,    0
156839,20130801,  191,    0
156839,20130802,  198,    1
156839,20130803,  165,    0
156839,20130804,  176,    0
156839,20130805,  163,    0
156839,20130806,  139,    0
156839,20130807,  151,    0
156839,20130808,  162,    0
156839,20130809,  163,    0
156839,20130810,  153,    0
156839,20130811,  151,    0
156839,20130812,  152,    0
156839,20130813,  136,    0
156839,20130814,  168,    0
156839,20130815,  179,    0
156839,20130816,  158,    0
156839,20130817,  161,    0
156839,20130818,  138,    0
156839,20130819,  139,    0
156839,20130820,  160,    0
156839,20130821,  171,    0
156839,20130822,  190,    0
156839,20130823,  184,    0
156839,20130824,  168,    0
156839,20130825,  173,    0
156839,20130826,  173,    0
156839,20130827,  156,    0
156839,20130828,  151,    0
156839,20130829,  148,    0
156839,20130830,  168,    0
156839,20130831,  132,    0
156839,20130901,  140,    0
156839,20130902,  167,    0
156839,20130903,  185,    0
156839,20130904,  140,    0
156839,20130905,  149,    1
