EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-08-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNITED KINGDOM, WIGHT ST CATHERINES POINT (STAID: 11111).
Blended and updated with sources: 156879 903866 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
156879,20140101,   85,    0
156879,20140102,   99,    0
156879,20140103,   94,    0
156879,20140104,   81,    0
156879,20140105,   80,    0
156879,20140106,  100,    0
156879,20140107,  106,    0
156879,20140108,   96,    0
156879,20140109,   98,    0
156879,20140110,   94,    0
156879,20140111,   78,    0
156879,20140112,   75,    0
156879,20140113,   84,    0
156879,20140114,   71,    0
156879,20140115,   74,    0
156879,20140116,   94,    0
156879,20140117,   83,    0
156879,20140118,   89,    0
156879,20140119,   73,    0
156879,20140120,   84,    0
156879,20140121,   66,    0
156879,20140122,   91,    1
156879,20140123,   77,    0
156879,20140124,   81,    0
156879,20140125,   92,    0
156879,20140126,   89,    0
156879,20140127,   73,    0
156879,20140128,   80,    1
156879,20140129,   65,    0
156879,20140130,   56,    0
156879,20140131,   67,    0
156879,20140201,   72,    0
156879,20140202,   77,    0
156879,20140203,   80,    0
156879,20140204,   78,    0
156879,20140205,   86,    0
156879,20140206,   89,    0
156879,20140207,   76,    0
156879,20140208,   81,    0
156879,20140209,   68,    0
156879,20140210,   71,    0
156879,20140211,   76,    0
156879,20140212,   77,    0
156879,20140213,   58,    0
156879,20140214,   81,    0
156879,20140215,   77,    0
156879,20140216,   85,    0
156879,20140217,   82,    0
156879,20140218,   94,    0
156879,20140219,   84,    0
156879,20140220,   94,    1
156879,20140221,   74,    0
156879,20140222,   78,    0
156879,20140223,   98,    0
156879,20140224,   99,    1
156879,20140225,   81,    0
156879,20140226,   85,    0
156879,20140227,   88,    0
156879,20140228,   73,    0
156879,20140301,   57,    0
156879,20140302,   72,    0
156879,20140303,   69,    0
156879,20140304,   69,    0
156879,20140305,   78,    0
156879,20140306,   89,    0
156879,20140307,  100,    0
156879,20140308,   99,    0
156879,20140309,  114,    0
156879,20140310,  124,    1
156879,20140311,   82,    0
156879,20140312,   99,    0
156879,20140313,   94,    1
156879,20140314,   65,    0
156879,20140315,   87,    0
156879,20140316,  107,    0
156879,20140317,   99,    0
156879,20140318,   93,    0
156879,20140319,   95,    0
156879,20140320,   93,    0
156879,20140321,   82,    0
156879,20140322,   67,    0
156879,20140323,   81,    0
156879,20140324,   58,    0
156879,20140325,   84,    0
156879,20140326,   59,    0
156879,20140327,   62,    0
156879,20140328,   83,    0
156879,20140329,   93,    0
156879,20140330,  127,    0
156879,20140331,  127,    0
156879,20140401,  103,    0
156879,20140402,  121,    0
156879,20140403,  136,    1
156879,20140404,  103,    0
156879,20140405,   98,    0
156879,20140406,  115,    0
156879,20140407,  113,    0
156879,20140408,   96,    0
156879,20140409,   93,    0
156879,20140410,   95,    0
156879,20140411,  119,    0
156879,20140412,  109,    0
156879,20140413,  112,    0
156879,20140414,  106,    0
156879,20140415,   91,    0
156879,20140416,   98,    0
156879,20140417,  106,    0
156879,20140418,  101,    0
156879,20140419,   83,    0
156879,20140420,  103,    0
156879,20140421,  115,    0
156879,20140422,  110,    0
156879,20140423,  109,    0
156879,20140424,  103,    0
156879,20140425,  110,    0
156879,20140426,  115,    0
156879,20140427,  114,    0
156879,20140428,  123,    0
156879,20140429,  115,    0
156879,20140430,  105,    0
156879,20140501,  113,    0
156879,20140502,  117,    1
156879,20140503,   81,    0
156879,20140504,   95,    0
156879,20140505,  116,    0
156879,20140506,  126,    0
156879,20140507,  122,    0
156879,20140508,  119,    0
156879,20140509,  124,    0
156879,20140510,  122,    0
156879,20140511,  117,    0
156879,20140512,  118,    0
156879,20140513,  123,    0
156879,20140514,  124,    0
156879,20140515,  132,    0
156879,20140516,  128,    0
156879,20140517,  139,    0
156879,20140518,  143,    0
156879,20140519,  164,    1
156879,20140520,  140,    0
156879,20140521,  128,    0
156879,20140522,  135,    0
156879,20140523,  124,    0
156879,20140524,  119,    0
156879,20140525,  131,    0
156879,20140526,  123,    0
156879,20140527,  135,    0
156879,20140528,  121,    0
156879,20140529,  141,    0
156879,20140530,  150,    0
156879,20140531,  137,    0
156879,20140601,  145,    0
156879,20140602,  145,    0
156879,20140603,  140,    0
156879,20140604,  129,    0
156879,20140605,  127,    0
156879,20140606,  148,    0
156879,20140607,  162,    0
156879,20140608,  161,    0
156879,20140609,  164,    0
156879,20140610,  145,    0
156879,20140611,  164,    0
156879,20140612,  172,    0
156879,20140613,  174,    0
156879,20140614,  176,    0
156879,20140615,  155,    0
156879,20140616,  149,    0
156879,20140617,  156,    0
156879,20140618,  153,    0
156879,20140619,  176,    0
156879,20140620,  153,    0
156879,20140621,  163,    0
156879,20140622,  172,    0
156879,20140623,  176,    0
156879,20140624,  187,    1
156879,20140625,  162,    0
156879,20140626,  157,    0
156879,20140627,  164,    0
156879,20140628,  162,    0
156879,20140629,  158,    0
156879,20140630,  150,    0
156879,20140701,  169,    0
156879,20140702,  159,    0
156879,20140703,  164,    0
156879,20140704,  166,    0
156879,20140705,  167,    0
156879,20140706,  155,    0
156879,20140707,  165,    0
156879,20140708,  169,    0
156879,20140709,  170,    0
156879,20140710,  189,    0
156879,20140711,  174,    0
156879,20140712,  186,    0
156879,20140713,  185,    0
156879,20140714,  159,    0
156879,20140715,  182,    0
156879,20140716,  185,    0
156879,20140717,  191,    0
156879,20140718,  197,    0
156879,20140719,  202,    0
156879,20140720,  188,    0
156879,20140721,  201,    0
156879,20140722,  213,    0
156879,20140723,  221,    0
156879,20140724,  232,    0
156879,20140725,  214,    0
156879,20140726,  224,    0
156879,20140727,  206,    0
156879,20140728,  190,    0
156879,20140729,  195,    0
156879,20140730,  180,    0
156879,20140731,  175,    0
156879,20140801,  182,    0
156879,20140802,  182,    0
156879,20140803,  174,    0
156879,20140804,  177,    0
156879,20140805,  183,    0
156879,20140806,  185,    0
156879,20140807,  186,    0
156879,20140808,  185,    0
156879,20140809,  174,    0
156879,20140810,  182,    0
156879,20140811,  172,    0
156879,20140812,  174,    0
156879,20140813,  177,    0
156879,20140814,  169,    0
156879,20140815,  158,    0
156879,20140816,  161,    0
156879,20140817,  162,    0
156879,20140818,  166,    0
156879,20140819,  145,    0
156879,20140820,  143,    0
156879,20140821,  139,    0
156879,20140822,  163,    0
156879,20140823,  140,    0
156879,20140824,  141,    0
156879,20140825,  164,    0
156879,20140826,  180,    0
156879,20140827,  159,    0
156879,20140828,  174,    0
156879,20140829,  172,    0
156879,20140830,  164,    0
156879,20140831,  164,    0
156879,20140901,  161,    0
156879,20140902,  172,    0
156879,20140903,  183,    0
156879,20140904,  177,    0
